Registry,Repository,Tag,Id,Scan Time,Pass,Type,Distro,Hostname,Layer,CVE ID,Compliance ID,Type,Severity,Packages,Source Package,Package Version,Package License,CVSS,Fix Status,Fix Date,Grace Days,Vulnerability Tags,Description,Cause,Published,Custom Labels
registry-default.ocpappdes.financiero.bco:443,slfc-des/jch-slfc-organisation-consulting,1.0.1-SNAPSHOT-DES,sha256:fe96a7c6ad59f76acd3a6c286c1c310ea2397f89413cdfbdeb1c1f828b8ab887,2021-03-29T22:31:22.276Z,True,ciImage,Red Hat Enterprise Linux Server 7.6 (Maipo),,,CVE-2018-0495,46,SO,moderate,nss-softokn-freebl,,3.36.0-5.el7_5,,5.1,fixed in 3.44.0-5.el7,1565049600,,,"Libgcrypt before 1.7.10 and 1.8.x before 1.8.3 allows a memory-cache side-channel attack on ECDSA signatures that can be mitigated through the use of blinding during the signing process in the _gcry_ecc_ecdsa_sign function in cipher/ecc-ecdsa.c, aka the Return Of the Hidden Number Problem or ROHNP. To discover an ECDSA key, the attacker needs access to either the local machine or a different virtual machine on the same physical host.",,1528932540,
registry-default.ocpappdes.financiero.bco:443,slfc-des/jch-slfc-organisation-consulting,1.0.1-SNAPSHOT-DES,sha256:fe96a7c6ad59f76acd3a6c286c1c310ea2397f89413cdfbdeb1c1f828b8ab887,2021-03-29T22:31:22.276Z,True,ciImage,Red Hat Enterprise Linux Server 7.6 (Maipo),,,CVE-2018-12404,46,SO,moderate,nss-softokn-freebl,,3.36.0-5.el7_5,,5.9,fixed in 3.44.0-5.el7,1565049600,,,A cached side channel attack during handshakes using RSA encryption could allow for the decryption of encrypted content. This is a variant of the Adaptive Chosen Ciphertext attack (AKA Bleichenbacher attack) and affects all NSS versions prior to NSS 3.41.,,1556818140,
registry-default.ocpappdes.financiero.bco:443,slfc-des/jch-slfc-organisation-consulting,1.0.1-SNAPSHOT-DES,sha256:fe96a7c6ad59f76acd3a6c286c1c310ea2397f89413cdfbdeb1c1f828b8ab887,2021-03-29T22:31:22.276Z,True,ciImage,Red Hat Enterprise Linux Server 7.6 (Maipo),,,CVE-2019-11719,46,SO,moderate,nss-softokn-freebl,,3.36.0-5.el7_5,,7.5,fixed in 3.53.1-6.el7_9,1601337600,,,"When importing a curve25519 private key in PKCS#8format with leading 0x00 bytes, it is possible to trigger an out-of-bounds read in the Network Security Services (NSS) library. This could lead to information disclosure. This vulnerability affects Firefox ESR < 60.8, Firefox < 68, and Thunderbird < 60.8.",,1563891300,
registry-default.ocpappdes.financiero.bco:443,slfc-des/jch-slfc-organisation-consulting,1.0.1-SNAPSHOT-DES,sha256:fe96a7c6ad59f76acd3a6c286c1c310ea2397f89413cdfbdeb1c1f828b8ab887,2021-03-29T22:31:22.276Z,True,ciImage,Red Hat Enterprise Linux Server 7.6 (Maipo),,,CVE-2019-11727,46,SO,moderate,nss-softokn-freebl,,3.36.0-5.el7_5,,3.4,fixed in 3.53.1-6.el7_9,1601337600,,,A vulnerability exists where it possible to force Network Security Services (NSS) to sign CertificateVerify with PKCS#1 v1.5 signatures when those are the only ones advertised by server in CertificateRequest in TLS 1.3. PKCS#1 v1.5 signatures should not be used for TLS 1.3 messages. This vulnerability affects Firefox < 68.,,1563891300,
registry-default.ocpappdes.financiero.bco:443,slfc-des/jch-slfc-organisation-consulting,1.0.1-SNAPSHOT-DES,sha256:fe96a7c6ad59f76acd3a6c286c1c310ea2397f89413cdfbdeb1c1f828b8ab887,2021-03-29T22:31:22.276Z,True,ciImage,Red Hat Enterprise Linux Server 7.6 (Maipo),,,CVE-2019-11729,46,SO,important,nss-softokn-freebl,,3.36.0-5.el7_5,,7.5,fixed in 3.44.0-8.el7_7,1575936000,,,"Empty or malformed p256-ECDH public keys may trigger a segmentation fault due values being improperly sanitized before being copied into memory and used. This vulnerability affects Firefox ESR < 60.8, Firefox < 68, and Thunderbird < 60.8.",,1563891300,
registry-default.ocpappdes.financiero.bco:443,slfc-des/jch-slfc-organisation-consulting,1.0.1-SNAPSHOT-DES,sha256:fe96a7c6ad59f76acd3a6c286c1c310ea2397f89413cdfbdeb1c1f828b8ab887,2021-03-29T22:31:22.276Z,True,ciImage,Red Hat Enterprise Linux Server 7.6 (Maipo),,,CVE-2019-11745,46,SO,important,nss-softokn-freebl,,3.36.0-5.el7_5,,8.1,fixed in 3.44.0-8.el7_7,1575936000,,,"When encrypting with a block cipher, if a call to NSC_EncryptUpdate was made with data smaller than the block size, a small out of bounds write could occur. This could have caused heap corruption and a potentially exploitable crash. This vulnerability affects Thunderbird < 68.3, Firefox ESR < 68.3, and Firefox < 71.",,1578514500,
registry-default.ocpappdes.financiero.bco:443,slfc-des/jch-slfc-organisation-consulting,1.0.1-SNAPSHOT-DES,sha256:fe96a7c6ad59f76acd3a6c286c1c310ea2397f89413cdfbdeb1c1f828b8ab887,2021-03-29T22:31:22.276Z,True,ciImage,Red Hat Enterprise Linux Server 7.6 (Maipo),,,CVE-2019-11756,46,SO,moderate,nss-softokn-freebl,,3.36.0-5.el7_5,,7.1,fixed in 3.53.1-6.el7_9,1601337600,,,Improper refcounting of soft token session objects could cause a use-after-free and crash (likely limited to a denial of service). This vulnerability affects Firefox < 71.,,1578514500,
registry-default.ocpappdes.financiero.bco:443,slfc-des/jch-slfc-organisation-consulting,1.0.1-SNAPSHOT-DES,sha256:fe96a7c6ad59f76acd3a6c286c1c310ea2397f89413cdfbdeb1c1f828b8ab887,2021-03-29T22:31:22.276Z,True,ciImage,Red Hat Enterprise Linux Server 7.6 (Maipo),,,CVE-2019-17006,46,SO,moderate,nss-softokn-freebl,,3.36.0-5.el7_5,,8.1,fixed in 3.53.1-6.el7_9,1601337600,,,"In Network Security Services (NSS) before 3.46, several cryptographic primitives had missing length checks. In cases where the application calling the library did not perform a sanity check on the inputs it could result in a crash due to a buffer overflow.",,1603401300,
registry-default.ocpappdes.financiero.bco:443,slfc-des/jch-slfc-organisation-consulting,1.0.1-SNAPSHOT-DES,sha256:fe96a7c6ad59f76acd3a6c286c1c310ea2397f89413cdfbdeb1c1f828b8ab887,2021-03-29T22:31:22.276Z,True,ciImage,Red Hat Enterprise Linux Server 7.6 (Maipo),,,CVE-2019-17007,46,SO,moderate,nss-softokn-freebl,,3.36.0-5.el7_5,,7.5,fixed in 3.44.0-5.el7,1565049600,,,"In Network Security Services before 3.44, a malformed Netscape Certificate Sequence can cause NSS to crash, resulting in a denial of service.",,1603401300,
registry-default.ocpappdes.financiero.bco:443,slfc-des/jch-slfc-organisation-consulting,1.0.1-SNAPSHOT-DES,sha256:fe96a7c6ad59f76acd3a6c286c1c310ea2397f89413cdfbdeb1c1f828b8ab887,2021-03-29T22:31:22.276Z,True,ciImage,Red Hat Enterprise Linux Server 7.6 (Maipo),,,CVE-2019-17023,46,SO,moderate,nss-softokn-freebl,,3.36.0-5.el7_5,,5.3,fixed in 3.53.1-6.el7_9,1601337600,,,"After a HelloRetryRequest has been sent, the client may negotiate a lower protocol that TLS 1.3, resulting in an invalid state transition in the TLS State Machine. If the client gets into this state, incoming Application Data records will be ignored. This vulnerability affects Firefox < 72.",,1578521700,
